mlbId,LastName,firstInitial
489334,Stammen, C
592773,Stanek, R
608716,Steckenrider, D
476594,Stock, R
519326,Strickland, H
621385,Stumpf, D
461872,Swarzak, A
547749,Tazawa, J
572193,Tepera, R
458708,Tomlin, J
448614,Torres, C
595014,Treinen, B
642152,Trivino, L
627500,Tseng, J
592815,Tuivailala, S
545363,Turner, J
572308,Valdez, J
657786,Vasto, G
519381,Venditte, P
458924,Venters, J
543883,Vincent, N
527055,Vizcaino, A
458690,Volstad, C
592833,Wahl, B
519393,Walden, M
476589,Warren, A
453265,Watson, T
543903,Webster, A
592848,Weiss, Z
605525,Wendelken, J
595032,Whitley, C
592858,Wick, R
623364,Wieck, B
657117,Williams, A
543935,Wilson, A
622259,Wingenter, T
621295,Wittgren, N
621056,Wood, H
519443,Workman, B
657140,Wright, K
453214,Wright, S
489448,Zagurski, M
623354,Zamora, D
642239,Zastryzny, R
446899,Ziegler, B
